"District/LEA","District #","School","School #","Private","Charter","T-I Prev.","T-I Curr.","Grades","Address","City","Zip","Map","Link","Stats","Phone","Fax","Chartered By","Opened","Closed","Principal/Director","Principal Name","Principal Email"
"New Focus Academy","FA","New Focus Academy","950","Private","","","?","6 - 12","1268 N Valley Heights Circle","HEBER CITY","84032","geo:40.522578,-111.405903","","","844-313-6749","","","2018","","Director","","hope@newfocusacademy.com"
"New Haven","KN","New Haven","664","Private","","","?","7 - 12","2172 East 7200 South","SPANISH FORK","84660","geo:40.100387,-111.604774","www.newhavenrtc.com","","801-794-1218","801-794-1223","","2000","","Principal","Kori Mayeski","korim@newhavenrtc.com"
"New Hope Academy","NI","New Hope Academy","950","Private","","","?","K - 12","343 E MAIN ST","AMERICAN FORK","84003","geo:40.37701,-111.78947","","","801-440-8475","","","2008","","Administrator","",""
"New Horizons Academy","MY","New Horizons Academy","950","Private","","","?","2 - 12","575 N MAIN","BRIGHAM CITY","84302","geo:41.522291,-112.015694","","","435-734-0551","","","2007","","Principal","",""
"New Life Christian Academy","NE","New Life Christian Academy","950","Private","","","?","K - 12","115 NORTH 300 WEST","WASHINGTON","84780","geo:37.131924,-113.514976","","","435-986-1440","","","2008","","Principal","",""
"No. UT. Acad. for Math Engineering & Science","A1","No. UT. Acad. for Math Engineering & Science","700","Public","Charter","","?","10 - 12","2750 N UNIVERSITY PARK BLVD","LAYTON","84041","geo:41.098982,-111.983829","http://www.nuames.org","","801-395-3350","801-395-3351","State Charter School Board (SCSB)","2004","","Principal","Kelli Booth","kebooth@dsdmail.net"
"No. UT. Acad. for Math Engineering & Science","A1","No. UT. Acad. of Math Engineering & Science - Ogden","705","Public","Charter","","?","10 - 12","1465 Edvalson Street","OGDEN","84408","geo:41.1947071,-111.9435388","","","801-513-4084","","State Charter School Board (SCSB)","2018","","Principal","Steven Davis","sdavis@dsd.mail.net"
"Noah Webster Academy","6D","Noah Webster Academy","100","Public","Charter","Title I","?","K - 6","205 E 400 S","OREM","84058","geo:40.289893,-111.690456","http://www.noahwebsteracademy.org","https://datagateway.schools.utah.gov/Schools/6D100","801-426-6624","801-426-6645","State Charter School Board (SCSB)","2006","","Principal","Angela Rasmussen","arasmussen@mynwa.us"
"North Davis Preparatory Academy","A6","North Davis Preparatory Academy","100","Public","Charter","Title I","?","K - 9","1765 W HILLFIELD RD","LAYTON","84041","geo:41.0671,-111.998214","http://www.northdavisprep.org","","801-547-1809","801-547-1649","State Charter School Board (SCSB)","2004","","Director","Ryan Robinson","rrobinson@northdavisprep.org"
"North Sanpete District","20","Fairview School","104","Public","","Title I","?","K - 6","651 E 150 N","FAIRVIEW","84629","geo:39.631514,-111.425978","http://www.fe.nsanpete.k12.ut.us/FAIRVIEW_ELEMENTARY/Homepage.html","https://datagateway.schools.utah.gov/Schools/20104","435-427-9204","435-427-9201","","1980","","Principal","Allynne Mower","allynne.mower@nsanpete.org"
"North Sanpete District","20","Fountain Green School","108","Public","","Title I","?","Pre - 6","P O BOX 38 395 W 100 S","FOUNTAIN GREEN","84632","geo:39.626448,-111.641388","","https://datagateway.schools.utah.gov/Schools/20108","435-445-3316","435-445-3305","","1983","","Principal","Robyn Cox","robyn.cox@nsanpete.org"
"North Sanpete District","20","Moroni School","116","Public","","Title I","?","Pre - 6","PO BOX 279 98 N 200 W","MORONI","84646","geo:39.52737,-111.586688","http://www.me.nsanpete.k12.ut.us/Home.html","https://datagateway.schools.utah.gov/Schools/20116","435-436-8291","435-436-8401","","1980","","Principal","Stacey Peterson","stacey.peterson@nsanpete.org"
"North Sanpete District","20","Mt. Pleasant School","112","Public","","Title I","?","Pre - 6","579 S 400 E","MT PLEASANT","84647","geo:39.53933,-111.44778","www.mpe.nsanpete.k12.ut.us/Site/Home_Page.html","https://datagateway.schools.utah.gov/Schools/20112","435-462-2077","435-462-3608","","1962","","Principal","Natalie Stansfield","natalie.stansfield@nsanpete.org"
"North Sanpete District","20","North Sanpete High","704","Public","","","?","9 - 12","390 E 700 S","MT PLEASANT","84647","geo:39.53557,-111.44798","https://www.nsh.nsanpete.org/","https://datagateway.schools.utah.gov/Schools/20704","435-462-2452","435-462-3112","","1965","","Principal","Christine Straatman","christine.straatman@nsanpete.org"
"North Sanpete District","20","North Sanpete Middle","404","Public","","","?","7 - 8","655 E 100 S P O BOX 307","MORONI","84646","geo:39.523454,-111.571362","https://sites.google.com/nsanpete.org/nsms","https://datagateway.schools.utah.gov/Schools/20404","435-436-8206","435-436-8208","","1982","","Principal","Jeffery Ericksen","jeff.ericksen@nsanpete.org"
"North Sanpete District","20","Pleasant Creek School","801","Public","","","?","K - 12","55 E 100 South","MOUNT PLEASANT","84647","geo:39.54537,-111.45441","www.nsanpete.org","https://datagateway.schools.utah.gov/Schools/20801","435-462-2817","435-462-2480","","2012","","Administrator","Stephen Solen","stephen.solen@nsanpete.org"
"North Sanpete District","20","Spring City School","120","Public","","Title I","?","K - 6","100 N 453 E P O BOX 159","SPRING CITY","84662","geo:39.48007,-111.487917","http://www.sce.nsanpete.k12.ut.us/Home.html","https://datagateway.schools.utah.gov/Schools/20120","435-462-2169","435-462-3445","","1983","","Principal","John Thomas","john.thomas@nsanpete.k12.ut.us"
"North Star Academy","5B","North Star Academy","100","Public","Charter","","?","K - 9","2920 W 14000 S","Bluffdale","84065","geo:40.497181,-111.963185","http://www.north-staracademy.com","https://datagateway.schools.utah.gov/Schools/5B100","801-302-9579","801-302-9578","State Charter School Board (SCSB)","2005","","Director","Tana Archer","tarcher@north-staracademy.com"
"North Summit District","21","North Summit High","704","Public","","","?","9 - 12","BOX 497 53 S 100 E","COALVILLE","84017","geo:40.915114,-111.397472","http://www.nsummit.org/HighSchool.cfm","https://datagateway.schools.utah.gov/Schools/21704","435-336-5656","435-336-0309","","1970","","Principal","Devin Smith","dsmith@nsummit.org"
"North Summit District","21","North Summit Middle","304","Public","","","?","5 - 8","BOX 497 76 S 100 E","COALVILLE","84017","geo:40.915114,-111.397472","http://www.nsummit.org/Middle.cfm","https://datagateway.schools.utah.gov/Schools/21304","435-336-5678","435-336-4474","","1983","","Principal","Wade Murdock","wmurdock@nsummit.org"
"North Summit District","21","North Summit Preschool","100","Public","","","?","Pre","PO BOX 497 65 S MAIN","COALVILLE","84017","geo:40.915241,-111.397546","","https://datagateway.schools.utah.gov/Schools/21100","435-336-5654","435-336-2064","","2002","","Principal","","jbrooks@nsummit.k12.ut.us"
"North Summit District","21","North Summit School","110","Public","","Title I","?","K - 4","BOX 497 240 S BEACON DR","COALVILLE","84017","geo:40.915114,-111.397472","http://www.nsummit.org/Elementary.cfm","https://datagateway.schools.utah.gov/Schools/21110","435-336-2101","435-336-2064","","1983","","Principal","Russell Hendry","rhendry@nsummit.org"
"Oakgrove School","NL","Oakgrove School","951","Private","","","?","7 - 12","1325 Washington Blvd","OGDEN","84401","geo:41.242295,-111.970159","www.oakgroveacademics.com","","801-399-1402","801-399-1765","","2008","","Director","Suzanne Ciraulo","suzanne@waterfallcanyon.com"
"Oasis Montessori Schools","OM","Oasis Monessori Schools","901","Private","","","?","Pre","780 South 200 West Building 8","SYRACUSE","84075","geo:41.1108992,-112.0409555","","","801-825-7827","801-773-2273","","2018","","Director","","oasismontessorischools@gmail.com"
"Odyssey Charter School","1C","Odyssey Charter School","100","Public","Charter","","?","K - 6","738 E QUALITY DR","AMERICAN FORK","84003","geo:40.361601,-111.779667","http://www.odysseycharter.net","https://datagateway.schools.utah.gov/Schools/1C100","801-492-8105","801-763-8743","State Charter School Board (SCSB)","2005","","Director","Russell Schellhous","rschellhous@odysseycharter.net"
"Odyssey House School","KO","Odyssey House School","666","Private","","","?","7 - 12","607 E 200 S","SALT LAKE CITY","84102","geo:40.765332,-111.87333","","","801-328-8752","","","1900","","Principal","Sheryl Benson",""
"Ogden City District","37","Ben Lomond High","703","Public","","Title I","?","10 - 12","1080 9TH STREET","OGDEN","84404","geo:41.249945,-111.952229","https://benlomond.ogdensd.org/","https://datagateway.schools.utah.gov/Schools/37703","801-737-7900","801-625-1138","","2008","","Principal","Steven Poll","polls@ogdensd.org"
"Ogden City District","37","Bonneville School","103","Public","","Title I","?","Pre - 6","490 GRAMERCY AVE","OGDEN","84404","geo:41.254643,-111.956549","https://bonneville.ogdensd.org/","https://datagateway.schools.utah.gov/Schools/37103","801-737-8900","801-627-7681","","2008","","Principal","Julie Neilson","neilsonj@ogdensd.org"
"Ogden City District","37","Contracted Special Education","182","Public","","","?","K - 12","1950 MONROE BLVD","OGDEN","84401","geo:41.232653,-111.957517","","https://datagateway.schools.utah.gov/Schools/37182","801-737-7300","801-627-7654","","2003","","Director","",""
"Ogden City District","37","East Ridge Elementary School","131","Public","","Title I","?","Pre - 6","1300 - 9TH ST","OGDEN","84404","geo:41.248994,-111.945146","https://horacemann.ogdensd.org/","https://datagateway.schools.utah.gov/Schools/37131","801-737-7600","801-627-7694","","2008","","Principal","Maridee Harrison","harrisonm@ogdensd.org"
"Ogden City District","37","George Washington High","729","Public","","Title I","?","7 - 12","455 28TH STREET","OGDEN","84401","geo:41.231985,-111.955838","https://georgewashington.ogdensd.org/","https://datagateway.schools.utah.gov/Schools/37729","801-737-7400","801-625-1171","","2008","","Principal","Joshua Bell","belljo@ogdensd.org"
"Ogden City District","37","Heritage School","119","Public","","Title I","?","Pre - 6","373 S 150 W","OGDEN","84404","geo:41.276199,-111.970691","https://heritage.ogdensd.org/","https://datagateway.schools.utah.gov/Schools/37119","801-737-8000","","","2008","","Principal","Jim Mieure","mieurej@ogdensd.org"
"Ogden City District","37","Highland Junior High","409","Public","","Title I","?","7 - 9","325 GRAMERCY AVE","OGDEN","84404","geo:41.256616,-111.958083","https://highland.ogdensd.org/","https://datagateway.schools.utah.gov/Schools/37409","801-737-7700","801-625-8860","","2008","","Principal","Velden Wardle","wardlev@ogdensd.org"
"Ogden City District","37","Hillcrest School","123","Public","","Title I","?","null","130 N ECCLES AVE","OGDEN","84404","geo:41.261237,-111.950101","https://hillcrest.ogdensd.org/","https://datagateway.schools.utah.gov/Schools/37123","801-737-7550","801-334-4411","","2008","2023","Principal","Wendi Malan","malanw@ogdensd.org"
"Ogden City District","37","James Madison School","151","Public","","Title I","?","null","2563 MONROE BLVD","OGDEN","84401","geo:41.219253,-111.960173","https://jamesmadison.ogdensd.org/","https://datagateway.schools.utah.gov/Schools/37151","801-737-8200","801-627-7606","","2008","2023","Principal","Julie Neilson","neilsonj@ogdensd.org"
"Ogden City District","37","Liberty Elementary School","179","Public","","Title I","?","Pre - 6","3209 Monroe Blvd","OGDEN","84403","geo:41.20412,-111.9595","https:/liberty.ogdensd.org","https://datagateway.schools.utah.gov/Schools/37179","801-737-8350","801-627-7660","","2008","","Principal","Keeli Espinoza","espinozak@ogdensd.org"
"Ogden City District","37","Lincoln School","139","Public","","Title I","?","Pre - 6","1235 N CANFIELD","OGDEN","84404","geo:41.281321,-111.965104","https://lincoln.ogdensd.org/","https://datagateway.schools.utah.gov/Schools/37139","801-737-7650","801-625-8816","","2008","","Principal","Terry Humphreys","humphreyst@ogdensd.org"
"Ogden City District","37","Malan's Peak Secondary ","731","Public","","","?","7 - 12","790 W 12th St","OGDEN","84404","geo:41.24445,-111.994329","","https://datagateway.schools.utah.gov/Schools/37731","801-334-0271","","","2018","","Principal","Steven Morris","morrise@ogdensd.org"
"Ogden City District","37","Mound Fort Junior High","411","Public","","Title I","?","7 - 9","1400 MOUND FORT DR","OGDEN","84404","geo:41.241605,-111.958741","http://Moundfort.ogdensd.org","https://datagateway.schools.utah.gov/Schools/37411","801-737-7800","801-625-8993","","2008","","Principal","Nichole Goodliffe","goodliffen@ogdensd.org"
"Ogden City District","37","Mount Ogden Junior High","415","Public","","Title I","?","7 - 9","3260 HARRISON BLVD","OGDEN","84403","geo:41.204536,-111.947668","http://Mountogden.ogdensd.org","https://datagateway.schools.utah.gov/Schools/37415","801-737-8600","801-627-7641","","2008","","Principal","Cynthia Kuni","smithc@ogdensd.org"
"Ogden City District","37","New Bridge School","158","Public","","Title I","?","Pre - 6","2150 Jefferson Ave.","OGDEN","84401","geo:41.2277622,-111.9669151","http://Newbridge.ogdensd.org","https://datagateway.schools.utah.gov/Schools/37158","801-737-8100","","","2016","","Principal","Jennifer DeCorso","decorsoj@ogdensd.org"
"Ogden City District","37","Odyssey School","163","Public","","Title I","?","Pre - 6","375 GODDARD STREET","OGDEN","84403","geo:41.204808,-111.958305","http://Odyssey.ogdensd.org","https://datagateway.schools.utah.gov/Schools/37163","801-737-8400","801-737-8511","","2008","","Principal","Sonja Davidson","davidsons@ogdensd.org"
"Ogden City District","37","Ogden High","707","Public","","Title I","?","10 - 12","2828 HARRISON BLVD","OGDEN","84403","geo:41.212911,-111.947351","http://Ogdenhigh.ogdensd.org","https://datagateway.schools.utah.gov/Schools/37707","801-737-8673","801-392-7338","","2008","","Principal","Shauna Haney","Haneys@ogdensd.org"
"Ogden City District","37","Ogden Online Elementary","200","Public","","","?","K - 6","1950 Monroe Boulevard","OGDEN","84401","geo:41.23248,-111.95679","","https://datagateway.schools.utah.gov/Schools/37200","801-737-7300","","","2020","","Principal","",""
"Ogden City District","37","Ogden Online Secondary","750","Public","","","?","7 - 12","1950 Monroe Boulevard","OGDEN","84401","geo:41.23248,-111.95679","","https://datagateway.schools.utah.gov/Schools/37750","801-737-7300","","","2020","","Principal","",""
"Ogden City District","37","Ogden Preschool","100","Public","","","?","Pre - K","1950 MONROE BLVD","OGDEN","84401","geo:41.232653,-111.957517","","https://datagateway.schools.utah.gov/Schools/37100","801-737-7300","","","2002","","Director","",""
"Ogden City District","37","Polk School","167","Public","","Title I","?","K - 6","2615 POLK AVE","OGDEN","84401","geo:41.217211,-111.94317","http://polk.ogdensd.org","https://datagateway.schools.utah.gov/Schools/37167","801-737-8300","801-625-8829","","2008","","Principal","Jordan Mangum","Mangumj@ogdensd.org"
"Ogden City District","37","Shadow Valley School","174","Public","","","?","K - 6","4911 S 1500 E","OGDEN","84403","geo:41.174041,-111.942366","http://Shadowvalley.ogdensd.org","https://datagateway.schools.utah.gov/Schools/37174","801-737-8150","","","2009","","Principal","Vincent Ardizzone","ardizzonev@ogdensd.org"
"Ogden City District","37","Spec. Educ. ATC","620","Public","","","?","Pre - 12","1950 MONROE BLVD","OGDEN","84401","geo:41.232653,-111.957517","","https://datagateway.schools.utah.gov/Schools/37620","801-625-8700","","","2003","","Administrator","",""
